id,city,price,area,years_of_construction,number_of_rooms,have_balcony,have_garage,rating,category
8877,Marseille,276097,80,2019,2,1,0,3.3999999999999995,medium
8878,Marseille,721465,143,2013,2,1,1,3.8999999999999995,medium
8879,Marseille,370159,79,2019,2,0,0,3.5999999999999996,high
8880,Lyon,635975,101,2012,3,1,1,4.3,medium
8881,Marseille,524030,164,2017,4,1,0,3.499999999999999,low
8882,Paris,733130,76,2011,1,0,0,3.2,medium
8883,Lyon,315066,85,2014,2,1,1,3.5,low
8884,Lyon,733909,122,2005,3,1,0,3.5,medium
8885,Paris,613183,56,2017,2,0,0,3.8,medium
8886,Marseille,597271,113,2018,3,1,0,4.199999999999999,high
8887,Paris,540702,52,2011,2,0,0,3.5,medium
8888,Paris,1164943,84,2024,1,1,0,4.3,high
8889,Lyon,495296,65,2021,1,0,0,3.7,high
8890,Marseille,315369,72,2019,1,1,0,3.0999999999999996,medium
8891,Paris,437671,56,2016,1,1,0,3.3,low
8892,Paris,715490,61,2017,2,0,0,4.3,high
8893,Paris,515934,48,2011,1,0,0,3.2,medium
8894,Marseille,250239,60,2006,1,0,0,2.2,medium
8895,Marseille,325810,60,2023,2,1,0,3.8999999999999995,high
8896,Marseille,513523,133,2012,3,1,1,3.8999999999999995,medium
8897,Lyon,405085,86,2011,2,0,1,3.7,medium
8898,Paris,863217,86,2015,2,0,0,3.5,medium
8899,Marseille,345730,113,2013,3,1,0,2.8999999999999995,low
8900,Lyon,616550,93,2015,1,1,0,3.7,high
8901,Paris,664034,66,2020,1,1,0,3.8,medium
8902,Paris,945060,65,2018,1,0,0,4.0,high
8903,Marseille,710679,132,2017,3,1,0,4.199999999999999,high
8904,Lyon,318095,65,2015,2,0,0,3.2,medium
8905,Marseille,769223,138,2013,3,0,0,3.5999999999999996,high
8906,Marseille,420454,107,2007,3,1,0,3.0999999999999996,medium
8907,Lyon,475105,95,2007,1,1,1,2.9000000000000004,low
8908,Marseille,474232,100,2010,2,1,1,3.5999999999999996,medium
8909,Paris,691497,80,2006,2,1,0,3.5,medium
8910,Marseille,626079,179,2010,4,0,1,3.3999999999999995,low
8911,Paris,611199,60,2006,2,0,0,3.2,medium
8912,Marseille,343153,140,2010,3,1,1,3.3999999999999995,low
8913,Lyon,429733,62,2014,2,0,0,3.7,high
8914,Paris,329732,20,2024,1,0,0,3.7,high
8915,Paris,590395,73,2006,2,0,0,3.2,medium
8916,Paris,987614,80,2016,1,0,0,4.0,high
8917,Lyon,708783,91,2016,1,1,1,4.5,high
8918,Marseille,258688,113,2010,2,1,1,3.3999999999999995,low
8919,Paris,911985,92,2017,1,0,1,4.0,medium
8920,Lyon,363970,50,2023,1,1,0,4.0,high
8921,Lyon,583444,104,2011,3,1,0,3.8,medium
8922,Lyon,498054,126,2011,3,1,1,3.8,low
8923,Marseille,465532,112,2014,3,1,0,3.3999999999999995,medium
8924,Lyon,643463,88,2016,2,1,1,4.3,medium
8925,Lyon,677380,87,2022,2,0,1,4.5,high
8926,Marseille,857875,180,2013,4,1,1,4.199999999999999,medium
8927,Marseille,611656,151,2005,3,0,1,3.3,medium
8928,Lyon,527833,98,2009,1,1,1,3.7,medium
8929,Paris,273690,20,2016,1,0,0,3.7,high
8930,Marseille,318950,60,2018,1,1,0,3.5999999999999996,high
8931,Paris,595707,55,2023,2,0,0,3.8,medium
8932,Paris,644946,67,2012,1,0,0,3.2,medium
8933,Lyon,687541,96,2011,2,0,0,3.7,high
8934,Marseille,384770,127,2021,3,1,1,3.6999999999999993,low
8935,Paris,389205,54,2024,2,1,0,3.5999999999999996,low
8936,Marseille,332635,60,2024,2,0,0,3.5999999999999996,high
8937,Marseille,587587,144,2010,3,1,0,3.3999999999999995,medium
8938,Paris,637670,60,2011,2,0,0,3.5,medium
8939,Marseille,300900,78,2014,2,0,0,2.8,medium
8940,Marseille,401829,69,2021,1,0,0,3.3,high
8941,Marseille,245124,107,2010,3,1,0,2.8999999999999995,low
8942,Paris,294960,21,2016,1,0,0,3.7,high
8943,Lyon,408258,79,2009,2,1,0,3.5,medium
8944,Marseille,430508,83,2014,1,0,1,3.0,medium
8945,Lyon,347710,50,2018,2,1,0,4.3,high
8946,Marseille,346023,60,2019,1,0,0,3.3,high
8947,Paris,934727,65,2010,2,0,0,4.0,high
8948,Lyon,301165,67,2013,2,1,0,3.5,medium
8949,Marseille,486835,95,2006,1,0,1,2.7,medium
8950,Marseille,385949,94,2017,2,0,0,3.0999999999999996,medium
8951,Paris,763360,61,2024,2,1,0,4.6,high
8952,Paris,525602,55,2013,1,1,0,3.5,medium
8953,Lyon,405234,66,2018,2,0,0,4.0,high
8954,Lyon,443431,63,2017,1,0,0,3.7,high
8955,Marseille,392777,92,2018,1,0,1,3.3,medium
8956,Lyon,812928,105,2021,3,1,1,5.0,high
8957,Lyon,432722,72,2018,1,1,0,3.5,medium
8958,Marseille,295259,60,2015,2,0,0,3.3,high
8959,Lyon,384236,53,2019,1,1,0,4.0,high
8960,Marseille,451996,96,2012,1,0,0,3.0,high
8961,Lyon,474793,88,2017,2,0,0,3.5,medium
8962,Paris,526634,64,2011,1,0,0,3.2,medium
8963,Paris,266062,37,2010,1,0,0,2.4000000000000004,low
8964,Paris,649978,66,2019,2,0,0,3.8,medium
8965,Marseille,365091,92,2006,1,1,0,2.5,medium
8966,Paris,275697,20,2021,1,0,0,3.7,high
8967,Lyon,388716,64,2011,2,0,0,3.7,high
8968,Marseille,404503,101,2010,2,0,1,3.5999999999999996,medium
8969,Lyon,395120,50,2024,2,0,0,4.0,high
8970,Lyon,202923,57,2014,2,0,0,2.7,low
8971,Paris,290093,29,2012,1,0,0,2.9000000000000004,medium
8972,Marseille,482746,111,2024,2,1,1,4.199999999999999,medium
8973,Paris,937519,86,2005,2,1,0,3.5,medium
8974,Marseille,719144,121,2009,3,0,0,3.5999999999999996,high
8975,Marseille,1110828,180,2024,3,1,0,4.199999999999999,high
8976,Paris,668283,66,2006,1,1,0,3.2,medium
8977,Lyon,303806,63,2011,2,1,0,3.5,medium
8978,Marseille,820555,169,2009,3,1,1,3.8999999999999995,medium
8979,Marseille,455779,89,2019,2,1,1,3.8999999999999995,medium
8980,Marseille,253206,60,2007,1,0,0,2.2,medium
8981,Marseille,608902,114,2022,3,0,0,3.8999999999999995,high
8982,Marseille,510153,139,2006,2,1,0,3.0999999999999996,medium
8983,Marseille,212369,79,2016,2,0,0,2.5999999999999996,low
8984,Marseille,590940,139,2016,3,1,0,3.6999999999999993,medium
8985,Marseille,346492,77,2008,1,1,0,2.8,medium
8986,Marseille,641953,157,2017,3,1,1,4.199999999999999,medium
8987,Marseille,366198,71,2011,1,1,0,3.3,high
8988,Paris,920701,77,2023,1,0,0,4.0,high
8989,Paris,495594,52,2012,1,1,0,3.5,medium
8990,Lyon,785812,118,2021,2,0,0,4.3,high
8991,Paris,333485,41,2006,1,0,0,2.9000000000000004,medium
8992,Paris,376483,37,2023,1,0,0,3.2,medium
8993,Paris,452413,51,2007,2,1,0,3.5,medium
8994,Lyon,329865,50,2006,2,0,0,3.4000000000000004,high
8995,Paris,682228,79,2014,1,0,0,3.2,medium
8996,Paris,1024474,77,2023,1,0,0,4.0,high
8997,Paris,725790,64,2015,1,1,0,3.5,medium
8998,Marseille,315137,91,2016,2,1,0,3.3999999999999995,medium
8999,Lyon,334440,74,2009,1,0,0,2.9000000000000004,medium
9000,Marseille,307910,60,2017,2,1,0,3.8999999999999995,high
9001,Marseille,451801,94,2017,1,1,0,3.0999999999999996,medium
9002,Paris,621508,81,2007,1,0,0,2.9000000000000004,medium
9003,Paris,874087,54,2022,1,0,0,4.0,high
9004,Marseille,245431,60,2018,1,0,0,2.8,medium
9005,Lyon,245813,50,2023,2,0,0,3.5,medium
9006,Marseille,614602,180,2005,4,0,0,3.0999999999999996,medium
9007,Marseille,430513,88,2014,2,0,1,3.3,medium
9008,Marseille,565580,128,2021,3,1,0,3.6999999999999993,medium
9009,Paris,304246,24,2022,1,0,0,3.7,high
9010,Lyon,456739,77,2019,1,1,0,3.5,medium
9011,Paris,512128,44,2018,1,0,0,4.0,high
9012,Paris,594162,58,2018,2,0,0,3.8,medium
9013,Marseille,264425,68,2016,1,0,0,2.8,medium
9014,Lyon,215067,50,2010,1,1,0,3.2,medium
9015,Lyon,463055,116,2007,2,1,1,3.5,low
9016,Marseille,445945,115,2006,3,1,0,3.0999999999999996,medium
9017,Lyon,511982,108,2014,3,1,1,3.8,low
9018,Paris,515481,42,2019,1,0,0,4.0,high
9019,Paris,798486,72,2007,1,0,0,2.9000000000000004,medium
9020,Marseille,416550,105,2010,2,1,0,3.3999999999999995,medium
9021,Marseille,678706,174,2006,3,1,0,3.0999999999999996,medium
9022,Marseille,236624,66,2022,2,0,0,3.0999999999999996,medium
9023,Marseille,278677,60,2006,1,0,0,2.7,high
9024,Paris,678678,67,2005,1,1,0,3.2,medium
9025,Lyon,289437,50,2011,2,0,0,3.2,medium
9026,Lyon,702418,92,2018,2,0,1,4.5,high
9027,Marseille,428548,92,2018,2,0,0,3.5999999999999996,high
9028,Paris,696502,48,2010,1,0,0,3.7,high
9029,Paris,1525127,100,2023,3,1,0,4.6,high
9030,Marseille,278329,89,2019,1,0,0,2.8,medium
9031,Paris,557741,54,2006,2,0,0,3.2,medium
9032,Paris,535265,57,2008,2,0,0,3.5,medium
9033,Paris,833820,78,2017,1,0,0,3.5,medium
9034,Paris,1034721,81,2016,1,0,0,4.0,high
9035,Paris,225332,22,2014,1,0,0,2.9000000000000004,medium
9036,Paris,407548,47,2013,1,0,0,3.2,medium
9037,Paris,540364,45,2014,1,0,0,3.7,high
9038,Paris,355589,33,2012,1,0,0,2.9000000000000004,medium
9039,Lyon,516663,71,2010,1,1,0,3.7,high
9040,Marseille,595559,100,2009,3,1,0,3.5999999999999996,high
9041,Lyon,386360,93,2005,2,1,1,3.2,low
9042,Lyon,570275,107,2023,3,0,0,3.8,medium
9043,Marseille,177042,60,2009,1,0,0,2.5,medium
9044,Lyon,962248,150,2024,3,1,1,4.6,medium
9045,Paris,661217,64,2010,1,0,0,3.2,medium
9046,Marseille,449347,108,2009,2,0,1,3.5999999999999996,medium
9047,Marseille,312890,60,2013,2,1,0,3.5999999999999996,high
9048,Lyon,590116,83,2014,2,1,1,4.0,medium
9049,Marseille,367923,120,2011,2,1,1,3.3999999999999995,low
9050,Lyon,407694,50,2024,1,0,0,3.7,high
9051,Lyon,835465,102,2022,2,0,1,4.8,high
9052,Paris,788443,64,2013,1,0,0,3.7,high
9053,Paris,217947,40,2005,1,0,0,2.4000000000000004,low
9054,Lyon,430236,58,2017,2,0,0,4.0,high
9055,Marseille,539847,118,2012,3,0,0,3.5999999999999996,high
9056,Marseille,680967,167,2012,4,1,0,3.6999999999999993,medium
9057,Paris,689148,63,2020,1,0,0,3.5,medium
9058,Lyon,584795,100,2023,3,0,1,4.0,medium
9059,Paris,782470,62,2019,1,1,0,4.3,high
9060,Lyon,746207,95,2016,1,1,1,4.5,high
9061,Lyon,431473,80,2012,2,1,0,3.5,medium
9062,Marseille,317229,60,2024,2,0,0,3.5999999999999996,high
9063,Lyon,471939,60,2018,2,1,0,4.3,high
9064,Marseille,214213,60,2014,1,1,0,2.8,medium
9065,Marseille,344216,104,2016,2,1,1,3.6999999999999993,low
9066,Marseille,360345,82,2007,2,1,1,3.3,medium
9067,Paris,544489,41,2021,1,0,0,4.0,high
9068,Paris,964492,66,2021,2,1,0,4.6,high
9069,Lyon,445898,73,2022,1,1,0,3.5,medium
9070,Lyon,964702,120,2015,3,1,1,4.8,high
9071,Paris,680088,72,2015,1,0,0,3.2,medium
9072,Paris,713910,68,2008,2,1,0,3.8,medium
9073,Paris,472135,49,2006,1,0,0,2.9000000000000004,medium
9074,Marseille,291929,64,2015,1,0,0,3.0,high
9075,Marseille,473637,120,2006,3,0,0,2.8,medium
9076,Marseille,260675,71,2017,1,0,0,2.8,medium
9077,Lyon,464591,75,2015,1,0,0,3.4000000000000004,high
9078,Paris,805585,74,2011,1,0,0,3.2,medium
9079,Paris,618602,57,2023,2,1,0,4.1,medium
9080,Marseille,279975,60,2014,1,1,0,2.8,medium
9081,Lyon,411979,95,2023,1,1,1,3.5,low
9082,Marseille,203882,75,2006,2,1,0,2.3,low
9083,Paris,676191,69,2005,1,0,0,2.9000000000000004,medium
9084,Paris,738904,70,2009,1,0,0,3.2,medium
9085,Lyon,386502,61,2022,1,0,0,3.7,high
9086,Paris,934476,94,2008,1,0,0,3.2,medium
9087,Marseille,474379,96,2010,2,1,0,3.5999999999999996,high
9088,Paris,281374,23,2024,1,0,0,3.7,high
9089,Lyon,262769,59,2008,1,0,0,2.9000000000000004,medium
9090,Paris,365231,41,2006,1,0,0,2.9000000000000004,medium
9091,Lyon,202432,50,2006,2,0,0,2.9000000000000004,medium
9092,Lyon,576342,86,2022,2,1,1,4.3,medium
9093,Paris,858690,70,2024,1,0,0,4.0,high
9094,Marseille,293087,60,2024,1,1,0,3.5999999999999996,high
9095,Paris,451084,54,2008,2,1,0,3.8,medium
9096,Marseille,557793,156,2017,3,1,1,3.6999999999999993,low
9097,Paris,900421,90,2008,2,0,0,3.5,medium
9098,Marseille,685332,168,2016,3,1,0,3.6999999999999993,medium
9099,Paris,937956,73,2012,2,0,0,4.0,high
9100,Paris,541780,68,2007,2,0,0,3.2,medium
9101,Lyon,291662,50,2006,1,0,0,3.1000000000000005,high
9102,Marseille,154776,60,2019,2,1,0,2.8999999999999995,low
9103,Lyon,379831,103,2005,2,0,1,3.2,low
9104,Lyon,532248,106,2021,2,1,1,4.6,medium
9105,Paris,617183,60,2012,2,1,0,3.8,medium
9106,Lyon,379770,91,2006,1,0,1,2.6000000000000005,low
9107,Marseille,523088,97,2013,2,1,0,3.5999999999999996,high
9108,Paris,654512,57,2009,1,0,0,3.7,high
9109,Lyon,423135,65,2013,2,0,0,3.7,high
9110,Marseille,465671,121,2023,3,0,0,3.3999999999999995,medium
9111,Lyon,318201,62,2006,2,0,0,2.9000000000000004,medium
9112,Lyon,305291,50,2007,2,1,0,3.2,medium
9113,Lyon,630198,88,2018,2,1,0,4.3,high
9114,Paris,393112,38,2011,1,0,0,2.9000000000000004,medium
9115,Paris,263588,20,2022,1,0,0,3.7,high
9116,Lyon,475061,108,2019,2,1,1,4.1,low
9117,Paris,481949,43,2018,1,0,0,4.0,high
9118,Marseille,555829,139,2018,2,0,1,3.8999999999999995,medium
9119,Paris,760941,54,2007,1,1,0,3.7,high
9120,Lyon,227364,50,2020,1,0,0,3.2,medium
9121,Marseille,719234,109,2019,3,1,0,4.199999999999999,high
9122,Marseille,513278,146,2014,3,1,0,3.3999999999999995,medium
9123,Marseille,355978,72,2005,1,1,0,3.0,high
9124,Lyon,209070,55,2006,1,0,0,2.1000000000000005,low
9125,Lyon,229106,50,2018,1,0,0,3.2,medium
9126,Marseille,234287,60,2018,1,0,0,2.8,medium
9127,Lyon,260143,50,2012,1,1,0,3.2,medium
9128,Paris,632881,57,2022,1,0,0,3.5,medium
9129,Marseille,187473,60,2005,2,1,0,2.3,low
9130,Marseille,283881,71,2008,2,1,0,3.0999999999999996,medium
9131,Marseille,358918,98,2016,1,1,0,3.0999999999999996,medium
9132,Lyon,535415,74,2017,2,0,0,4.0,high
9133,Paris,302066,42,2021,1,0,0,3.0,low
9134,Marseille,338020,62,2021,2,0,0,3.5999999999999996,high
9135,Paris,990700,77,2022,2,0,0,4.3,high
9136,Paris,745672,55,2021,2,1,0,4.6,high
9137,Marseille,347019,93,2012,1,1,1,2.8,low
9138,Marseille,459625,138,2022,3,1,1,3.6999999999999993,low
9139,Paris,463063,64,2007,2,0,0,2.7,low
9140,Paris,1186170,100,2024,3,0,0,4.3,high
9141,Paris,782433,61,2016,1,0,0,4.0,high
9142,Lyon,971029,104,2018,2,1,1,5.0,high
9143,Lyon,562349,129,2018,3,0,1,3.8,low
9144,Marseille,613887,109,2019,2,1,1,4.199999999999999,medium
9145,Marseille,696639,112,2018,2,1,1,4.699999999999999,high
9146,Paris,631063,57,2014,1,0,0,3.2,medium
9147,Paris,440034,51,2006,2,0,0,3.2,medium
9148,Lyon,407429,63,2015,2,0,0,3.7,high
9149,Marseille,801884,118,2023,2,1,0,4.199999999999999,high
9150,Marseille,646564,142,2008,3,1,0,3.3999999999999995,medium
9151,Paris,484147,56,2008,2,0,0,3.5,medium
9152,Paris,752834,69,2015,2,0,0,3.5,medium
9153,Paris,915775,65,2022,2,1,0,4.6,high
9154,Paris,246049,20,2015,1,0,0,3.4000000000000004,high
9155,Paris,710249,80,2020,2,1,0,4.1,medium
9156,Paris,263580,27,2020,1,0,0,3.2,medium
9157,Lyon,848923,137,2008,2,1,1,4.3,medium
9158,Marseille,663114,145,2011,3,1,0,3.3999999999999995,medium
9159,Marseille,257762,60,2020,2,0,0,3.0999999999999996,medium
9160,Lyon,430996,68,2024,1,1,0,3.5,medium
9161,Marseille,799468,132,2009,3,1,0,3.8999999999999995,high
9162,Lyon,456025,56,2017,2,1,0,4.3,high
9163,Marseille,506482,74,2019,1,1,0,3.5999999999999996,high
9164,Paris,241773,20,2009,1,0,0,3.4000000000000004,high
9165,Lyon,393712,76,2009,2,1,0,3.5,medium
9166,Lyon,669903,132,2021,3,1,0,4.1,medium
9167,Marseille,331497,111,2010,2,0,1,3.0999999999999996,low
9168,Lyon,353162,66,2017,2,1,0,3.8,medium
9169,Lyon,461250,83,2007,1,0,0,2.6000000000000005,medium
9170,Marseille,500307,125,2012,2,1,1,3.8999999999999995,medium
9171,Paris,611502,72,2016,2,0,0,3.8,medium
9172,Paris,1291203,100,2019,2,0,0,4.3,high
9173,Marseille,314350,80,2007,1,1,0,2.5,medium
9174,Lyon,223123,57,2006,1,1,0,2.4000000000000004,low
9175,Lyon,652665,100,2019,2,0,0,4.0,high
9176,Lyon,571361,67,2023,2,1,0,4.3,high
9177,Paris,654279,77,2024,2,1,0,4.1,medium
9178,Marseille,213739,60,2006,1,0,0,2.2,medium
9179,Paris,763383,56,2012,1,0,0,3.7,high
9180,Lyon,323753,50,2014,1,1,0,3.7,high
9181,Paris,823591,70,2008,1,0,0,3.7,high
9182,Lyon,261601,50,2020,2,0,0,3.5,medium
9183,Lyon,617797,86,2024,2,1,1,4.3,medium
9184,Marseille,103003,60,2005,2,0,0,1.9999999999999998,low
9185,Lyon,227726,50,2007,2,0,0,2.9000000000000004,medium
9186,Lyon,399732,122,2018,2,1,1,4.1,low
9187,Lyon,305093,50,2018,1,1,0,3.5,medium
9188,Paris,489652,48,2018,1,0,0,3.5,medium
9189,Lyon,757577,133,2011,2,0,1,4.0,medium
9190,Marseille,468186,119,2007,3,1,1,3.5999999999999996,medium
9191,Paris,615030,55,2017,2,1,0,4.1,medium
9192,Paris,890871,69,2021,1,0,0,4.0,high
9193,Marseille,269647,77,2008,1,1,0,2.8,medium
9194,Marseille,465871,72,2022,1,0,0,3.3,high
9195,Lyon,449792,81,2013,1,1,1,3.7,medium
9196,Paris,516465,45,2006,1,0,0,3.4000000000000004,high
9197,Paris,453025,39,2023,1,0,0,3.7,high
9198,Paris,893641,59,2016,1,0,0,4.0,high
9199,Lyon,566043,123,2005,3,1,1,3.5,low
9200,Lyon,520746,98,2017,1,1,0,3.5,medium
9201,Lyon,639086,87,2021,2,1,1,4.3,medium
9202,Marseille,257912,74,2023,1,1,0,3.0999999999999996,medium
9203,Lyon,399976,54,2014,1,0,0,3.4000000000000004,high
9204,Marseille,998198,180,2006,3,1,1,3.5999999999999996,medium
9205,Marseille,395313,77,2010,2,1,0,3.5999999999999996,high
9206,Marseille,255571,60,2024,2,0,0,3.0999999999999996,medium
9207,Paris,499144,55,2015,1,1,0,3.5,medium
9208,Paris,765469,64,2022,1,1,0,3.8,medium
9209,Paris,856692,69,2015,1,0,0,3.7,high
9210,Marseille,806158,180,2017,4,1,1,4.499999999999999,medium
9211,Marseille,433553,128,2020,2,1,0,3.6999999999999993,medium
9212,Marseille,478358,141,2016,3,1,1,3.6999999999999993,low
9213,Lyon,244963,50,2009,2,0,0,3.2,medium
9214,Lyon,606701,83,2009,2,1,1,4.0,medium
9215,Paris,928614,86,2021,2,0,0,3.8,medium
9216,Marseille,293412,91,2009,1,0,0,2.5,medium
9217,Paris,743323,79,2015,2,1,0,3.8,medium
9218,Marseille,278477,60,2014,2,1,0,3.0999999999999996,medium
9219,Marseille,263907,60,2005,2,0,0,3.0,high
9220,Marseille,614507,116,2024,2,0,0,3.8999999999999995,high
9221,Lyon,839235,127,2023,3,1,1,4.6,medium
9222,Paris,1084200,74,2021,1,0,0,4.0,high
9223,Marseille,228101,60,2020,2,0,0,3.0999999999999996,medium
9224,Paris,280921,38,2010,1,0,0,2.4000000000000004,low
9225,Paris,996981,85,2008,2,1,0,3.8,medium
9226,Marseille,630161,106,2022,3,1,0,4.199999999999999,high
9227,Lyon,479593,73,2018,2,0,0,4.0,high
9228,Lyon,509793,94,2013,1,0,1,3.4000000000000004,medium
9229,Paris,979026,75,2020,1,0,0,4.0,high
9230,Paris,334515,43,2007,1,0,0,2.9000000000000004,medium
9231,Paris,327027,40,2005,1,0,0,2.9000000000000004,medium
9232,Lyon,671190,105,2007,2,1,0,4.0,high
9233,Marseille,451499,97,2021,1,0,0,3.3,high
9234,Paris,687634,80,2007,1,0,0,2.9000000000000004,medium
9235,Marseille,831815,157,2008,3,1,1,3.8999999999999995,medium
9236,Marseille,317141,60,2015,1,1,0,3.3,high
9237,Lyon,480757,99,2010,1,1,1,3.2,low
9238,Marseille,777973,105,2013,3,0,1,4.1,high
9239,Paris,650329,44,2024,1,0,0,4.0,high
9240,Marseille,532994,85,2024,2,0,1,4.1,high
9241,Marseille,539565,124,2020,2,1,0,3.6999999999999993,medium
9242,Paris,307974,36,2007,1,0,0,2.6000000000000005,medium
9243,Marseille,761686,164,2012,3,1,0,3.3999999999999995,medium
9244,Paris,374966,52,2007,2,0,0,2.7,low
9245,Lyon,656428,103,2007,2,1,1,4.0,medium
9246,Marseille,574925,121,2012,2,1,0,3.3999999999999995,medium
9247,Marseille,355841,137,2017,3,1,1,3.6999999999999993,low
9248,Lyon,822441,147,2012,2,0,0,3.5,medium
9249,Paris,830485,62,2010,1,0,0,3.7,high
9250,Paris,392450,59,2011,2,0,0,3.0,low
9251,Lyon,368722,75,2006,2,1,0,3.2,medium
9252,Marseille,384525,127,2006,2,1,1,3.0999999999999996,low
9253,Marseille,456489,104,2008,3,1,1,3.8999999999999995,medium
9254,Lyon,418734,97,2005,1,1,1,2.9000000000000004,low
9255,Marseille,754125,144,2017,2,0,0,3.8999999999999995,high
9256,Marseille,185902,60,2014,1,0,0,2.5,medium
9257,Marseille,366724,60,2024,1,1,0,3.5999999999999996,high
9258,Marseille,277113,60,2021,1,1,0,3.0999999999999996,medium
9259,Marseille,386570,140,2020,2,1,0,3.1999999999999993,low
9260,Lyon,736506,117,2006,3,0,1,3.7,medium
9261,Paris,747246,67,2006,2,1,0,3.5,medium
9262,Marseille,420962,91,2012,2,1,1,3.5999999999999996,medium
9263,Lyon,432589,62,2013,2,1,0,4.0,high
9264,Paris,439209,42,2017,1,0,0,3.5,medium
9265,Paris,600874,47,2022,1,0,0,4.0,high
9266,Marseille,243540,77,2008,2,1,0,2.5999999999999996,low
9267,Paris,455561,51,2013,2,0,0,3.5,medium
9268,Paris,708687,67,2008,2,1,0,3.8,medium
9269,Marseille,263333,70,2010,1,1,0,2.8,medium
9270,Marseille,829325,104,2023,3,1,1,4.699999999999999,high
9271,Paris,603606,60,2006,2,0,0,3.2,medium
9272,Marseille,273830,60,2016,2,1,0,3.3999999999999995,medium
9273,Lyon,614089,143,2014,3,1,0,3.8,medium
9274,Paris,952776,78,2018,2,0,0,4.3,high
9275,Paris,623736,65,2013,1,0,0,3.2,medium
9276,Paris,547305,57,2008,2,0,0,3.5,medium
9277,Marseille,481518,93,2021,2,1,1,3.8999999999999995,medium
9278,Lyon,473157,80,2023,1,0,0,3.7,high
9279,Paris,1175480,79,2021,1,0,0,4.0,high
9280,Marseille,354732,68,2016,1,0,0,3.3,high
9281,Marseille,291292,99,2015,2,0,1,2.8,low
9282,Paris,862154,84,2005,1,0,0,2.9000000000000004,medium
9283,Lyon,577168,105,2021,2,0,0,3.8,medium
9284,Marseille,212528,60,2008,2,1,0,3.0999999999999996,medium
9285,Lyon,301960,62,2017,1,1,0,3.5,medium
9286,Lyon,172412,74,2007,1,0,0,2.1000000000000005,low
9287,Marseille,725651,148,2016,2,0,1,3.8999999999999995,medium
9288,Lyon,296796,62,2023,2,1,0,3.8,medium
9289,Paris,663863,50,2023,1,0,0,4.0,high
9290,Marseille,181223,60,2007,1,0,0,2.2,medium
9291,Lyon,340784,72,2007,1,1,0,2.9000000000000004,medium
9292,Marseille,810487,143,2023,2,1,0,4.199999999999999,high
9293,Paris,420128,64,2007,2,0,0,2.7,low
9294,Paris,1006679,71,2016,2,1,0,4.6,high
9295,Marseille,306803,100,2011,3,1,1,3.0999999999999996,low
9296,Marseille,444899,104,2014,2,0,0,3.0999999999999996,medium
9297,Marseille,477400,121,2016,2,1,1,4.199999999999999,medium
9298,Lyon,786243,150,2019,4,1,0,4.3999999999999995,medium
9299,Lyon,815770,118,2017,2,0,1,4.3,medium
9300,Paris,445698,46,2013,1,0,0,3.2,medium
9301,Marseille,262394,73,2012,1,1,0,2.8,medium
9302,Paris,592116,43,2016,1,0,0,4.0,high
9303,Lyon,625950,124,2015,2,0,0,3.5,medium
9304,Paris,687212,62,2023,2,0,0,3.8,medium
9305,Marseille,462394,84,2023,2,1,0,3.8999999999999995,high
9306,Paris,551972,47,2020,1,0,0,4.0,high
9307,Lyon,439274,111,2017,3,1,0,3.5999999999999996,low
9308,Paris,196420,26,2008,1,0,0,2.9000000000000004,medium
9309,Lyon,535859,77,2016,1,1,0,4.0,high
9310,Marseille,625810,129,2017,2,1,0,4.199999999999999,high
9311,Paris,645268,45,2018,1,0,0,4.0,high
9312,Lyon,584361,121,2012,3,1,1,3.8,low
9313,Lyon,260875,54,2017,2,1,0,3.8,medium
9314,Paris,435430,29,2021,1,0,0,3.7,high
9315,Marseille,773958,156,2012,4,1,1,4.199999999999999,medium
9316,Marseille,317286,89,2018,1,1,1,3.0999999999999996,low
9317,Lyon,375793,62,2021,2,0,0,4.0,high
9318,Lyon,247950,51,2008,2,1,0,3.5,medium
9319,Lyon,880569,116,2018,3,1,0,4.6,high
9320,Paris,843108,63,2022,1,0,0,4.0,high
9321,Lyon,398715,74,2015,1,1,0,3.2,medium
9322,Paris,686606,59,2021,2,0,0,4.3,high
9323,Paris,390051,38,2005,1,0,0,2.6000000000000005,medium
9324,Lyon,481573,82,2014,2,1,0,3.5,medium
9325,Paris,690277,64,2011,1,0,0,3.2,medium
9326,Paris,303349,27,2013,1,0,0,3.4000000000000004,high
9327,Lyon,435039,76,2014,2,1,0,3.5,medium
9328,Lyon,612859,86,2021,1,1,1,4.0,medium
9329,Paris,792963,60,2018,1,1,0,4.3,high
9330,Lyon,258218,50,2018,2,0,0,3.5,medium
9331,Lyon,396462,62,2017,1,0,0,3.7,high
9332,Marseille,689328,116,2016,3,1,0,4.199999999999999,high
9333,Marseille,607928,94,2018,1,1,1,4.1,high
9334,Marseille,422783,60,2021,2,0,0,1.0999999999999999,scam
9335,Paris,1057897,100,2015,3,1,0,3.8,medium
9336,Marseille,380935,97,2009,1,0,0,2.5,medium
9337,Paris,604106,53,2013,2,0,0,4.0,high
9338,Lyon,289145,57,2024,1,0,0,3.2,medium
9339,Marseille,307884,74,2015,1,1,0,2.8,medium
9340,Paris,1036382,77,2017,2,0,0,4.3,high
9341,Marseille,605210,129,2017,2,1,1,4.199999999999999,medium
9342,Paris,609409,61,2023,2,0,0,3.8,medium
